sample_id,year,broadcast_abstract,abstract_length,broadcasts_in_year,broadcast_time,id_coder_1,id_coder_2,id_coder_3,geography_coder_1,geography_coder_2,geography_coder_3,news_coder_1,news_coder_2,news_coder_3,news,news_majority,geography,geography_majority
647411,1968,Walter Schirra and Donn Eisele have colds; Walter Cunningham about to come down with 1. Food crumbs float about craft. Mission gets OK for 1 more day in space. television Transmission shows Apollo VII capsule and crew; placards held up by crew. Tour of capsule given. Crew to broadcast Weds.REPORTER: Chet Huntley,313,4560,260,45183934,45158697,45178046,national,not_clear,national,soft,soft,soft,soft,soft,NA,national
59,1968,"ABC coverage of the 1968 Democratic National Convention with reports by Sam Donaldson, Howard K. Smith, Gore Vidal, William Buckley, Bill Lawrence and Bob Clark.Taped statement by Lester Maddox.Taped interview with Frank Mankiewicz.",232,4560,2480,44975113,43879440,33359860,national,national,national,hard,hard,hard,hard,hard,national,national
55,1968,"Live CBS coverage National Democratic Convention with reports by Walter Cronkite, Dan Rather, John Hart, Ike Pappas, Mike Wallace, Roger Mudd and Bob Schumacher.Live speeches and announcements by Carl Albert, Betty Furness, Governor Sam Shapiro, Governor Cringell and Brock Adams.Live interviews with Senator Birch Bayh, Senator George McGovern, Lester Hyman and Kenneth O'Donnell.Live coverage of roll call regarding the Minority Report..No Video for portion of broadcast.",473,4560,24420,45183934,45158697,45178046,national,national,national,hard,hard,hard,hard,hard,national,national
142,1968,"Live ABC coverage of the 1968 Republican National Convention with reports by Walter Cronkite, Joe Benty, Eric Sevareid, Ike Pappas, Bill Stout, John Hart, Harry Reasoner, Roger Mudd and Dan Rather.Live interviews with Clarke Reed, Pearl Mesta, John Lindsay, Bill Miller, Hiram Fong, Governor Paul Laxalt, Charles Scott and Everett Saltonstall.Live speeches and announcements by John Caniglos, Ray Bliss, Mrs. Jackson ( National Committee woman, RI), John Wayne and Senator Jacob Javits.Picture disturbances and temporary loss of picture throughout this tape.Gap between end of this segment and beginning of next due to 1968 method of taping.",641,4560,3680,45183934,45158697,45178046,national,national,national,hard,hard,hard,hard,hard,national,national
35,1968,"Live CBS coverage of 1968 Democratic National Convention with reports by Walter Cronkite, Roger Mudd, Art Buchwald, Ike Pappas, Dan Rather, Harry Reasoner, Mike Wallace, Hughes Rudd and Daniel Schorr.Live interviews with Dan Killiarm, Allard Lowenstein, Bill Vaughn and Channing Phillips.Live coverage of tribute to Adlai Stevenson by Paul Newman, Ralph Bellamy and Dore Schary.Taped speech by Jesse Unruh.Live announcement by Carl Albert.Picture disturbances throughout. Gap between end of this segment and beginning of next due to 1968 method of taping.",555,4560,2790,45126470,45686132,43879440,national,national,national,hard,hard,hard,hard,hard,national,national
652016,1968,"S. I. Hayakawa offers concessions to militant students to end strike. No success.REPORTER: Chet Huntley(San Francisco, California) [HAYAKAWA - announces break-through in black and ethnic studies programs.] To establish black studies department Students march anyhow. 14 other student demands noted. 1 is: Admit all blacks regardless of qualifications. Hayakawa wears flowers, urges police to do so also, as indication of peaceful intentions. [HAYAKAWA - analyzes situation. Believes anarchists take advantage of legitimate complaints.] Questioned by reporter [HAYAKAWA - notes Students for Democratic Society methods.] [STUDENTS - chant.] [HAYAKAWA - likens methods to Hitlerites. Calls mobs mindless.] Reporter question with regard to Hayakawa sympathies. [HAYAKAWA - says press emphasizes wrong things. He sympathizes with black students and 3rd world demands, but press leaves it out of the headlines. Reporter has control of press, TV.] Reporter asks what should be in headlines. [HAYAKAWA - says press writes headlines.] Reporter says black students not aware of sympathies. [HAYAKAWA - blames press in part. Responding to reporter, says he can stand the heat, like Harry Truman.]REPORTER: Jack Perkins",1207,4560,310,45348963,45180724,44944563,national,national,local,hard,hard,hard,hard,hard,NA,national
74,1968,"Live CBS coverage National Democratic Convention with reports by Walter Cronkite, Harry Reasoner, Eric Sevareid, Mike Wallace, Dan Rather and Roger Mudd.Live speeches and announcements by Senator Birch Bayh and Daniel Inouye.Live interviews with Theodore White and Frank Erwin.",277,4560,29040,45183934,45547205,45348963,national,national,national,hard,hard,hard,hard,hard,national,national
24,1968,"Live coverage NBC 1968 National Democratic Convention with reports by David Brinkley, Chet Huntley, John Chancellor, Frank McGee, Charles Quinn, Jack Perkins, Edwin Newman.Live interviews with Wendell Anderson, Forest Harris, Kenneth O'Donnell, Warren Magnuson and unidentified NY delegate.Video coverage Grant Park demonstrations.",331,4560,1500,45348963,45180724,44944563,national,national,national,hard,hard,hard,hard,hard,national,national
33,1968,"Live CBS coverage of 1968 Democratic National Convention with reports by Mike Wallace, Walter Cronkite, Daniel Schorr and Dan Rather.Live interviews with Jack Hesler (?) and Paul O'Dwyer.Live speeches and announcements by Harold Hughes, Julian Bond, Carl Albert and Joseph Alioto.Picture disturbances throughout. Temporary loss of picture from [9:03:20] through [9:03:50].Gap between end of this segment and beginning of next due to 1968 method of taping.",455,4560,4020,45348963,45544038,45567834,national,national,national,hard,hard,hard,hard,hard,national,national
662868,1968,"Israelis question Arab suspects after 3 blasts in Tel Aviv bus depot Weds. 1 killed; 50 hurt. 8 Arabs injured by Israeli mob afterwards. Israeli press says mob unwitting tool of terrorists. Fake bomb touches off panic at airport. Arab newspapers boast of major victory.REPORTER: Chet Huntley(Tel Aviv, Israel) Blasts occur at rush hour Depot shown. Police arrest all Arabs. Crowds strike out at Arabs in their midst. Some Jews and Arabs who are Israeli citizens incld.REPORTER: Alvin Rosenfeld",493,4560,130,45348963,45544038,45567834,national,international,international,hard,hard,hard,hard,hard,NA,international
662404,1968,"New radar control system in New York City disputed by Federal Aviation Administration and air traffic controllers. Federal Aviation Administration says system more efficient and safe. Some controllers warn of possible disasters.REPORTER: Walter Cronkite(Kennedy International Airport, New York) Passengers delayed during summer as controllers stack up planes to lessen congestion. Passengers flying in and out of New York warned they might not be safe. Common instrument flight rules room is where controllers keep track of flights of all 3 New York airports. [Controllers Union President Ken. LYONS - says controllers sick of being patsies for FAA. They're playing Russian roulette here. Federal Aviation Administration administration D.D. Thomas should step in and close common room and let each airport take care of self. Controllers don't know where all planes are at all times.] Federal Aviation Administration calls Lyons' charges irresponsible. [Air Control Supervisor Edward ELLENBERGER - calls new system improved. Advantage is close coordination.] [Air Traffic Controller Peter NELSON - says radar scope went out last week for minute or 2. Reverted to Newark large screen display. Aircraft always under radar control.] Most controllers feel overworked and underpaid. Men work 10 hrs. day 6 days weekREPORTER: John Laurence",1332,4560,270,45126470,45544038,45440113,local,local,local,hard,hard,hard,hard,hard,local,local
57,1968,"Live CBS coverage National Democratic Convention with reports by Walter Cronkite, Dan Rather, John Hart, Roger Mudd, Mike Wallace, Eric Sevareid and Bill Stout.Live speeches and announcements by Arthur Shores and Richard Hughes.Live interviews with Governor Buford Ellington, Art Buchwald, Bill Smith, Cleo Breeze, Larry O'Brien, Al Lowenstein, Martin Stone, Mayor Richard Daley and Tom Radney.Live coverage of Roll call with regards to the Alabama challenge.Faint audio for portions of broadcast.",497,4560,3760,33359860,45156664,45183934,national,national,national,hard,hard,not_clear,NA,hard,national,national
105,1968,"Coverage of the 1968 Republican Convention.Anchored by Walter Cronkite, with reports and commentary by Ike Pappas, Mike Wallace, Terry Drinkwater, Ed Rayburn.Interviews with Senator Charles Percy, John Mitchell, Ronald Reagan, George Wallace.Speeches by Ronald Reagan, Nelson Rockefeller, Richard Nixon.",303,4560,3750,45183934,45547205,45348963,national,national,national,hard,hard,hard,hard,hard,national,national
47,1968,"Live coverage NBC Democratic National Convention reported by Frank McGee, Chet Huntley, David Brinkley, John Chancellor , Sander Vanocur, Edwin Newman, Gabe Pressman, Floyd Kalbert.Live interviews with Stanley Lowell, John Burns, Joe Krankle, Paul O'Dwyer, John Kenneth Galbraith, Don Fraser, David Ginzburg, Robert Quinn, Julian Bond, Mr. Dinkley, George Smathers and George McGovern.Live coverage of roll call.",412,4560,3800,44975113,43879440,33359860,national,national,national,hard,hard,hard,hard,hard,national,national
121,1968,"Live NBC coverage 1968 National Republican Convention with reports by David Brinkley, Chet Huntley, John Chancellor, Edwin Newman, Frank McGee and Sander Vanocur.Live interviews with Paul Walter, Sarah Moore Green, Senator Strom Thurmond, Theresa Bower, David Cargo and Howard Calloway.Live speeches and announcements by Everett Dirksen, John Chaffee, Charles Goodell and Senator Hugh Scott.Gap between the end of this segment and the beginning of the next due to 1968 method of taping.",486,4560,3620,33359860,45156664,45183934,national,national,national,hard,hard,not_clear,NA,hard,national,national
6,1968,"Live coverage NBC Democratic National Convention reported by David Brinkley, Chet Huntley, Richard Valeriani, Sander Vanocur, John Chancellor, Frank McGee, Edwin Newman, Aline Saarinen, Tom PettitHubert Humphrey Press Conference (video)Live interviews with Jay Sykes, Donald Peterson, Kingsley Holman, Lucille Maziarz, Israel Friedman, Richard Daley, Jack Howard, William Gladstone, George McGovern, George C. Hoeh, Jesse Unruh, Arnold Fagin, Mrs. David HoehVideo interview with Muriel HumphreyDemocratic Party Film re: Robert KennedyProblem with video throughout first 15 minutes",580,4560,3800,44975113,45590294,45489719,national,national,national,hard,hard,soft,NA,hard,national,national
92,1968,"Live ABC coverage National Republican convention with reports and commentaries by Howard K. Smith, Bob Clark, William Buckley and Gore Vidal.Video Coverage of Richard Nixon's announcement of VIce Presidential candidate Sprio Agnew, followed by a statement by Spiro Agnew.Live speeches and announcements by Gerald Ford and Silvio Conte.",335,4560,8640,45183934,45158697,45178046,national,national,national,hard,hard,hard,hard,hard,national,national
662097,1968,"Johnson awards 3 medals of honor.REPORTER: Frank Reynolds(DC) Band plays. The 3 medal winners are sergeant David McNerney, Delbert Jennings and Ken. Strumpf. 2 GI's who displayed heroism in same actions, sergeant Leonard Keller and Spec. Raymond Wright. [JOHNSON - says men joined battle with incredible courage. War demands steadfastness so what we began in hope shouldn't be abandoned in frustration and anger so that bravery of men won't have been offered in vain.]REPORTER: Keith McBee Casualties reported.REPORTER: Frank Reynolds",534,4560,100,45126470,45686132,45489719,national,local,local,soft,soft,soft,soft,soft,NA,local
13,1968,"Coverage of the 1968 Democratic Convention on CBS.Anchored by Walter Cronkite with reports and commentary by Mike Wallace, Harry Reasoner, Dan Rather, and John Hart.Interviews with Shirley MacLaine, Harry Sublett, Rafer Johnson, William Hunter, Governor Philip Hoff.Speeches by Carl Albert, Dorothy Bush, Ralph Metcalf, Senator Fred Harris.",340,4560,19860,45183934,45158697,45178046,national,national,national,hard,hard,hard,hard,hard,national,national
18528,1968,"Platform hearings held again.REPORTER: Walter Cronkite(DC) Secretary of State Dean Rusk to testify tonight. Peace Democrats dominate hearing today. [Senator J. William FULBRIGHT - says United States should end all Vietnam bombing and call for cease-fire.] [Senator George MCGOVERN - says United States calls for law and order at home while spreading death and destruction abroad. Alienated friends around world and divided Americans Damage to monetary, fiscal, and economy life incalculable. War is moral disaster for us and Vietnam. War eating away at ideals of dignity and compassion.] Indicated McCarthy, McGovern and former supporters of Senator Robert F. Kennedy reaching agreement on Vietnam plank.REPORTER: Roger Mudd(DC) [Platform Committee Theodore SORENSEN - says Kennedy did oppose imposing coalition government on South Vietnam as Hubert Humphrey does, but Humphrey to say his position close to Kennedy's while he's supporting LBJ's is nonsense.]REPORTER: David Schoumacher 4 other Kennedy aides call Humphrey remark false and misleading.REPORTER: Roger Mudd",1070,4560,200,33359860,45156664,45183934,national,national,national,hard,hard,hard,hard,hard,national,national
18510,1968,"Report on Credentials CommitteeREPORTER: Chet Huntley(Chicago, Illinois) Committee hears challenges on North states: WA, Pennsylvania, Minnesota and Connecticut. Committee may rule on Mississippi delegation challenge tonight. South civil rights activists formed coordinating committee so common front of South challenges can be presented. Eugene McCarthy credentials coordinator, Joseph Rauh Junior expects floor fight with regard to Georgia, Alabama and Texas delegations. He attacks Hubert Humphrey for not endorsing challenges and predicts committee will rule against them. [RAUH - says Georgia is guaranteed front fight. Alabama and Texas are probable fights. Unlikely these 3 will win in committee without Humphrey support.] [Humphrey's Credentials Coordinator Senator Walter MONDALE - says made it clear we want 1964 civil rights rule apply to all challenges. Mississippi situation different. Proper and important we support Mississippi loyalists. Full factual hearings required for other challenges.] Humphrey people reluctant to lose more South votes by supporting challenges. McCarthy supporters can embarrass Humphrey and dramatize McCarthy cause.REPORTER: John Chancellor",1182,4560,240,44975113,45602176,45690795,international,international,national,hard,hard,hard,hard,hard,NA,international
71,1968,"Live CBS coverage National Democratic Convention with reports by Walter Cronkite, MIke Wallace, John Hart, Dan Rather and Joe Benty.Live speeches and announcements by Will Davis, Geri Joseph, Robert Strauss and Daniel Inouye.Live interviews Reverend James Hooten, Mr. Sports, John Connally, Walter Mondale, Joseph Rauh and Richard Hughes.",338,4560,29040,45348963,44975113,45204515,national,national,national,hard,hard,hard,hard,hard,national,national
115,1968,"Live ABC coverage National Republican Convention with reports and commentaires by Howard K. Smith, Bob Clark, John Scali and Lou Cioffi.Richard Nixon press conference continues.",177,4560,6000,44975113,43879440,33359860,national,national,national,hard,hard,hard,hard,hard,national,national
77099,1968,"Nixon advisor and black prosecuting attorney, J. Earl Dearing says some top Nixon aides worried about seeming Negro revolt from Republican PartyREPORTER: Walter Cronkite",169,4560,10,45348963,45544038,45567834,national,national,national,hard,hard,hard,hard,hard,national,national
644371,1968,Lyndon B. Johnson speaks with educators. White House film shown. [JOHNSON - speaks of future. Notes George Washington's feeling re: presidency.] At news conference Johnson expresses desire for Vietnam truce. Quotes Cyrus Vance with regard to Paris Peace Talks.REPORTER: Harry Reasoner,284,4560,150,33359860,45156664,45183934,national,national,national,hard,hard,hard,hard,hard,national,national
5,1968,"Live coverage NBC Democratic National Convention reported by Chet Huntley.Memorial film: Robert F. Kennedy continues.Live speeches by Ralph Metcalf, Carl Albert, Fred Harris, Kenneth Curtis, Jim O'Hara, and Richard Hughes.Edmund Muskie nominated for VP.",253,4560,3760,44975113,45686939,45602847,national,national,national,hard,hard,hard,hard,hard,national,national
18517,1968,"Report on President Johnson's speech to Veterans of Foreign Wars conventionREPORTER: Charles Kuralt(Detroit, Michigan) Anti-war demonstrators shown marching with signs. [VFW MERE - says if you were an American, you'd back boys in Vietnam.] His daughter, Luci Nugent, and grandson Patrick Lyndon with him. [JOHNSON - says it takes 2 to bargain and make peace. We won't move further until he believes other side will deescalate too. Some search for formula to get us out of Vietnam on any terms. This course would be disastrous for United States and world's interests. If we can see way to honorable peace, way will be open for better times. Won't stop bombing to let North Vietnam step up their bloodbath. 1 thing to seek responsibility; another when you have it.]REPORTER: Robert Pierpoint",789,4560,270,44975113,45598929,45464287,national,national,local,hard,hard,hard,hard,hard,NA,national
9,1968,"Coverage of the 1968 Democratic Convention on CBS.Anchored by Walter Cronkite with reports and commentary by Bert Quint, Roger Mudd.Speech by Hubert Humphrey.",158,4560,3740,44975113,43879440,33359860,national,national,national,hard,hard,hard,hard,hard,national,national
655245,1968,"House Committee on Un-American Activities begins study of Democratic Convention violence.REPORTER: Frank Reynolds(DC) Yippie guru, Jerry Rubin, comes to testify. Is 1st ejected from hall because he has rifle ammunition Rubin once dressed up at hearing as Continental soldier; today dressed up in guerrilla of future style. [RUBIN - says on November 5, all kinds of actions to occur by Yippies. Cites examples.] After 1 hour testimony, Rubin, Yippies and their attys. escorted from hearing after disrupting events.REPORTER: Keith McBee",534,4560,120,43879440,36985538,33256761,national,national,national,hard,hard,hard,hard,hard,national,national
661924,1968,This isn't unconditional bombing halt. United States acting as though South Vietnam cities won't be shelled anymore and DMZ (demilitarized zone) is to become demilitarized. Hanoi must know that no amount of pressure will stop President from ordering bombing resumption if that's the thing to do. North Vietnam believes what LBJ says.REPORTER: Frank Reynolds,357,4560,150,45126470,45686132,45710263,international,international,international,hard,hard,hard,hard,hard,international,international
661655,1968,Report on President Johnson's administrationREPORTER: Frank Reynolds(DC) Renewed hope for Johnson and Soviet Premier Aleksei Kosygin meeting before January 20. Rptd. President informed Richard Nixon of this. USSR had role in making Hanoi more receptive in Paris Peace Talks. South Vietnam delegation may arrive in Paris in December To be drive for nuclear non-proliferation treaty in new CongressREPORTER: Bill Gill,415,4560,80,45126470,45544038,45598929,national,international,national,hard,hard,hard,hard,hard,NA,national
4,1968,"Live coverage NBC Democratic National Convention reported by Chet Huntley, David Brinkley, Edwin Newman, Sander Vanocher, John Chancellor, Frank McGee, Bill MatneyLive coverage of roll call: Vice Presidential nominations and voteLive interviews with Jesse Unruh, Paul O'Dwyer, Stephen Reinhardt, Julian Bond, Irving Stolberg, Allard Lowenstein, David HoehAudio drops at [8:57:30-8:58:10] and [9:29:30-9:30:00]",409,4560,3630,45126470,45686132,45590294,national,national,national,hard,hard,hard,hard,hard,national,national
99,1968,"Live NBC coverage 1968 National Republican Convention with reports by Chet Huntley, David Brinkley, Frank McGee, Sander Vanocur, John Chancellor and Edwin Newman.Live interviews with Strom Thurmond, Albert Quie and Franklyn Nofziger, Mark Hatfield, George Hinman, Lawrence Kramer, Dewey Bartlett, Thomas Stagg, David Eisenhower, Tricia Nixon, Julie Nixon, Pat Nixon, Peter O'Donnell Jr., Louie Nunn, John Chafee and Robert Price.Small gap between the end of this segment and the beginning of the next segment due to method of taping in 1968.",541,4560,3600,45183934,45158697,45178046,national,national,national,hard,hard,hard,hard,hard,national,national
102,1968,Live coverage NBC Republican National Convention.Live speeches and announcements by Ivy Baker Priest and Gerald Ford.Fletcher Gaylor performs live organ accompaniment.,167,4560,1850,44975113,45598929,45557611,national,national,national,hard,hard,hard,hard,hard,national,national
662040,1968,"Armored cavalry squadron of 1,100 won't be sent to Vietnam but its equipment will be turned over to South Vietnam. Allies fight off 1,000 North Vietnam at Special Forces camp at Katum, South Vietnam. 135 enemy killed; 12 South Vietnam killed. Americans kill 77 enemy near Tam Ky.REPORTER: Chet Huntley",301,4560,30,45126470,45544038,45541643,international,international,international,hard,hard,hard,hard,hard,international,international
88,1968,"Live CBS coverage National Republican Convention with reports by Walter Cronkite, Joe Benty, Mike Wallace, John Hart, Dan Rather, Morton Dean and Harry Reasoner.Live speeches and announcements by Gerald Ford, Thruston Morton, Rogers Morton, John Lindsay, Senator John Tower and George Abbott.Live interviews with Congressman Goddell, Senator Jacob Javitts, Governor Raymond Shafer, Governor George Romney, Leonard Hall, Senator Ed Brooke, Governor John Chaffee, Governor Tom McCall, Jack Miller, Congressman Silvio Conte, Governor George Romney, Hugh Scott , Robert Sweet and Clark McGregor.",591,4560,18600,45348963,44975113,45204515,national,national,national,hard,hard,hard,hard,hard,national,national
642939,1968,"Yugoslavia's Marshall Tito celebrates 25 years Communist government Criticizes USSR and US, presumably for USSR actions in Czechoslovakia and US involvement in Vietnam war.REPORTER: Sam Donaldson(Belgrade, Yugoslavia) Hitler's invasion of Balkan countries recalled. 1941 film shown. Tito resistance recalled. Casualties noted. Tito and Communists built new country from rubble. Yugoslav Republic founded in 1943. Present country described. Ivan Minola featured in interview. [MINOLA - speaks of Communism, USSR . Notes freedom of speech, representative government]REPORTER: Bill Beutel",585,4560,210,43879440,36985538,33256761,international,international,international,hard,hard,hard,hard,hard,international,international
94,1968,"Live coverage NBC Republican National Convention.Live speeches by Sen. Strom Thurmond, Gerald Ford.Live interviews with John Mounger, Gov. James Rhodes, Val J. Washington, Sen. Edward Brooke, Clifford Case, Gov. Knowles.Live coverage of the first ballot roll call.",264,4560,3760,45126470,45686132,45671455,local,national,national,hard,hard,hard,hard,hard,NA,national
72,1968,"Live CBS coverage National Democratic Convention with reports by Walter Cronkite, Dan Rather, Mike Wallace and Roger Mudd.Live speeches and announcements by Daniel Inouye, Governor Richard Hughes, William Hochman, Paul O'Dwyer, Bart Corona and Will Davis.Live interviews with Jesse Unruh, Ted Sorenson and Reverend James Hooten.",328,4560,29040,43879440,36985538,33256761,national,national,national,hard,hard,hard,hard,hard,national,national
70,1968,"Live CBS coverage National Democratic Convention with reports by Walter Cronkite, Joe Benty, John Hart, Harry Reasoner, Robert Shakne, Jack Lawrence, Bert Quint and Mike Wallace.Live speeches and announcements by Daniel Inouye, Richard Hughes, Mayor Herman Badillo, Willie Brown, Aaron Henry, John Carroll, Frank King, George Benton and WIlliam Potter.Live interviews with Mayor Richard Daley, John Glenn, Tom Hayden, Julian Bond and Jesse Unruh.Films shown featurning demonstrations.",484,4560,29040,33359860,45156664,45183934,national,national,national,hard,hard,not_clear,NA,hard,national,national
