broadcast_abstract,hard_news_gold,geography_gold,sample_id,length,n,time,year
"Coverage of a debate between the six major declared candidates for the Democratic nomination in the 1992 presidential race.Candidates include former Governor Jerry Brown, Governor Bill Clinton, Senator, Tom Harkin, Senator Bob Kerrey, former Senator Paul Tsongas and Governor Douglas Wilder. Tom Brokaw moderates.",hard_news,national,368427,313,12656,3600,1991
"(Studio: Carole Simpson) .(Nairobi, Kenya: Juju Chang) The role of Mohammed Saddiq Odeh in providing evidence in the bombing of the United States embassy in Nairobi, Kenya, featured; Odeh photograph shown; scenes shown from the hotel where the bomb may have been assembled. [ABC News consultant Vincent CANNISTRARO - says Odeh says Saudi terrorist Osama bin Laden ordered him to carry out the bombing.] The FBI's ongoing investigation of the blast site noted.(Studio: Carole Simpson) .(Islamabad: Richard Gizbert) The message from the Afghanistan's Taliban government to bin Laden about showing restraint featured; details recalled of his movement from Sudan to Afghanistan two years ago.(Khartoum: Morton Dean) ABC News exclusive interview with Sudanese leader Hassan al-Tarabi about bin Laden. [TARABI - says the United States has made bin Laden a hero to the whole Moslem world; questions President Clinton's motives in attacking Sudan.] The bombed-out site in Sudan and anti-American demonstrations shown.",hard_news,international,302580,1009,14802,330,1998
"1st hour:Reporters: Bryant Gumbel / Katherine Couric / Tom Brokaw / Tom Aspell / Jamie Gangel / Faith Daniels / Bill LagattutaContributions: James DunniganInterviews: Kuwaiti UN Ambassador Mohammad Abulhasan / Senators John Kerry, Richard Lugar / Ivor Stanbrook, Helmut Schaeffer / Daniel Yergin, Irwin KellnerTaped Segments: scenes from the ground war / US home front reaction to the ground warCoverage on """"""""Today"""""""" re: the Persian Gulf war, including updates on the ground war, the situation in Baghdad and Kuwait, discussion of the post-war role of the US in the Middle East, British and German views on the ground war, current US military tactics, the long-term costs of the war. 2nd hour: Reporters: Bryant Gumbel / Katherine Couric / Faith Daniels / Jamie Gangel / Jim Miklaszewski / Tom Aspell / Mike Jensen / Deborah Roberts / Neil Bennett / Kenley Jones / Ann Curry / Ann RubensteinInterviews: Amre Moussa / Mohammed Kamal / Dr. Dr. Joshua Epstein, Phebe Marr / Allan Ryan, Jr.Taped Segments: the mood of US ground troops / Scenes from day 1 of the ground war / reaction to the ground war by military wives at Fort Stewart (Georgia)Coverage on """"""""Today"""""""" re: the Persian Gulf war, including updates on the ground war; a report on the current situation in Baghdad; discussion of Arab concerns about the war and its aftermath, of the post-war status of Iraq and its future role in the region's balance of power, and of war crime charges against Saddam Hussein; live interviews with residents of Chicago and New York City re: the escalation of the war.",hard_news,international,386290,1557,12656,7080,1991
Live CNN coverage and analysis of President-elect Barack Obama's speech at George Mason University re: his proposals to improve the US economy.Analysis includes the participation of University of Maryland Professor Peter Morici and Moody's Economy.com Chief Economist Mark Zandi.,hard_news,national,112059,279,13343,3120,2009
"President Clinton delivers State of the Union Address.See separate segments for speech and Republican response.Reporters: Dan Rather, Scott Pelley, Bob SchiefferInterviewees: Doris Kearns Goodwin, Richard GephardtTo order video see specific segments. UseReturn to Searchbutton.",hard_news,national,289088,277,14802,7080,1998
"Live CNN coverage and analysis of the UN/US military intervention in Somalia in support of famine relief efforts there with Bernard Shaw (CNN), including:Live coverage of US Marines landing in Mogadishu.Live coverage of President elect Bill Clinton speech to the Democratic Leadership Council Progressive Policy Institute in DC.Analysis includes the participation of military analyst James Blackwell, an interview with US soldier's wife Andrea Schneider, and interviews with Somalis living in the US Deman Rageh and others.The beginning of this coverage was not recorded. See also """"""""PrimeNews"""""""" for 7-8PM CNN coverage.",hard_news,international,371160,618,12726,6730,1992
"(Studio: Anderson Cooper) The scene in Baltimore after the governor declared a state of emergency after open warfare between police & protesters following the funeral for Freddie Gray, who died in police custody, presented; scenes shown of the police presence(Studio: Anderson Cooper; Baltimore: Miguel Marquez) The looting of stores in Baltimore tonight featured & the incident in which people cut into a fire hose being used by firefighters against a store fire discussed; scenes shown from Pennsylvania Ave., where stores are being robbed [PROTESTER - says he wants justice, but we are doing it wrong.](Studio: Anderson Cooper; Baltimore: Brian Todd) The looting at a mall in northwestern Baltimore discussed; scenes shown from the street at night; details given about the communications among looters hitting stores.(Studio: Anderson Cooper) What Mayor Stephanie Rawlings-Blake said in her press conference about the deploying of resources noted.(Studio: Anderson Cooper; Baltimore: Joe Johns) The situation in the streets of Baltimore with police in riot gear & an extraction team that will arrest the unruly people, the police tactics being used discussed; scenes shown from the streets at night as well as earlier unrest.(Studio: Anderson Cooper; Baltimore: Miguel Marquez) The tense situation in the streets, what tactics police are using discussed; scenes shown of police security.(Studio: Anderson Cooper; Baltimore: Joe Johns) The young protesters engaging in taunting the police discussed; scenes shown from the streets. [Resident Robert VALENTINE - explains just coming out to stand against the unrest.]",hard_news,local,55356,1616,7439,1880,2015
"(Studio: Peter Jennings) .(Amman: John Donvan) Iraqi President Saddam Hussein and his actions in Kuwait analyzed; scenes shown of him with Ala Hussein Ali, whom he chose to run Kuwait; details given of speech attributed to Hussein; scenes shown from Amman, Jordan, of Japanese tourists who were allowed to leave Iraq.",hard_news,international,392587,317,11836,110,1990
"(Studio: Cecilia Vega) .(Quebec City, Canada: David Wright) The simmering tensions at the Canada G7 summit between the allies & President Trump, who wants Russia invited back in, examined; group photo shown; details given of the opposition to his tariffs on steel & aluminum. [TRUMP&nbsp- says the EU, Canada & Mexico treat us unfairly & Russia should be here.] [On NBC, Canada Prime Minister Justin TRUDEAU- asks about us being a national security threat to the US.] A tweet from French Prime Minister Emmanuel Macron critical of the US president quoted. Trump's plans to leave the summit early discussed.",hard_news,international,22000,607,6230,140,2018
NBC coverage of Ronald Reagan's speech re: the Tower Commission Report. Additional comments from ABC and CBS.,hard_news,national,448454,109,11413,3600,1987
"Agriculture Department predicts `72 rise in cigarette smoking. Expects figures to showavenueup 2 pkg's. over last year. Civil Aeronautics Board proposes separation of smokers, nonsmokers on airplanes.REPORTER: Walter Cronkite",hard_news,national,639895,225,12165,85240,1972
"(Studio: Aaron Brown) Where things stand along the Gulf coast after Hurricane Katrina hit reviewed; scenes shown of the refugees in New Orleans, the flood waters, helicopter rescues; details given about the start of FEMA relief efforts.(New Orleans: Tom Foreman) The flooding from the broken levee systems of New Orleans & the problems of getting into the city featured; aerial scenes & maps shown.(Studio: Aaron Brown) The arrival of the first bus from New Orleans at the Astrodome in Houston reported; scenes shown of the people at the gate & with the press.(Studio: Aaron Brown) The role of churches in helping the refugees & the Coast Guard relief workers featured; scenes shown from a church assembly hall. [Bethany World Prayer Center Pastor Larry STOCKSTILL, two WOMEN, Coast Guard Lt. James PEELER, Louisiana department of homeland security Mark SMITH- comment on the situation.]",hard_news,"local
national",192973,890,18245,520,2005
"Last November in Soviet Siberian city Vladivostok, President Ford and Soviet party leader, Leonid Brezhnev agreed to limit offensive weapons. In Geneva,, American, Soviet negotiators begin meeting to put agreement in final form. In DC, Pentagon confirms temporary suspension of installation of multiple warhead ICBMs.REPORTER: Walter Cronkite",hard_news,international,586793,342,12948,40,1975
"Taped segment with David Wright (ABC), Bint Jubail (Lebanon) Mayor Haj Alibazi, and unidentified others re: the impact of Israeli attacks against Hezbollah forces on civilians in Lebanon.Taped segment with Dean Reynolds (ABC), high school principal Sharon Kalugni, Haifa resident McCale Sandler, and unidentified others re: the impact of Hezbollah rocket attacks on civilians in Haifa, Israel.Taped segment with Jake Tapper (ABC), Green Cross owner Kevin Reed, San Francisco Mayor Gavin Newsom, Green Cross attorney Joe Elford, neighborhood activist Ryan Chamberlain, and unidentified others re: the location of cannabis clubs in San Francisco, California.Taped segment with John Berman (ABC), “GQ” Style Editor Adam Rapoport, Carlo Vogel, and unidentified others re: men who choose to carry bags.",hard_news,international,162631,801,22047,1740,2006
"REPORTER: Bob Kur(DC) President Reagan's confidence about Tuesday election noted. [Courtesy CBS, """"""""Face the Nation"""""""", Senator Robert DOLE - notes continuing economic problems; hopes Republicans can hold the line.] [Courtesy Meet the Press, Representative Guy VANDER JAGT - denies reducing Social Security benefits.] [Courtesy ABC's """"""""This Week"""""""", Republican pollster Richard WIRTHLIN - claims Democratic surge hasn't developed among voters.]REPORTER: Emery King Democratic national campaign committee chairperson Representative Tony Coehlo's prediction of Democratic congress gains noted.REPORTER: Bob Kur(DC) AFL-CIO president Lane Kirkland's efforts on behalf of Democrats discussed; films shown. [Courtesy """"""""Meet the Press"""""""", COELHO [sic] - predicts Democrat victory.] [Democratic national chairperson Charles MANATT - challenges President to make commitment not to cut Social Security benefits.] Democratic commercial featuring Edmund Muskie mentioned.REPORTER: David Hazinski Elec. coverage announced.REPORTER: Bob Kur",hard_news,national,506760,1023,12667,220,1982
"(Studio: Craig Melvin) An historic flooding along the Eastern seaboard introduced; photos from South Carolina shown.(Greenville: Kerry Sanders) The flooding in South Carolina featured; scenes shown from Greenville, disabled cars, New Jersey, Charlotte, the Columbia dam, the Clemson football game. [RESIDENT, Governor Pat McCRORY@, tow truck driver Anthony MORRIS@, Jersey GUY, Duke Energy's Ryan MOSIER@- comment on flood & rain.](Studio: Craig Melvin; studio: Dylan Dreyer) The flood threat & Hurricane Joaquin reviewed; weather maps shown.(Studio: Craig Melvin) .(Jacksonville, Florida: Kristen Dahlgren) The Coast Guard search for a missing cargo ship featured; scenes, photos & ship's route shown. [Missing sailor Mike Holland's mother Deb ROBERTS@- cries.] [Coast Guard Capt. Mark FEDOR@, sailor's wife Rochelle HAMM@, ship worker Kenneth BENTON - comment on the disabled ship.]",hard_news,national,42123,884,7439,390,2015
"Strikes delay school openings across nation.REPORTER: Harry Reasoner(Detroit, Michigan) Teacher demands reviewed. [Student Cheryl SANGSTER - believes strikes hurt students most.] [Assistant principal Don CARMEN - acts as substitute teacher till strike settled.] [Supt. Chas. WOLFE - insists schools can't remain open under such conditions.]REPORTER: Ron Miller",hard_news,national,620004,360,12565,120,1973
Proposed changes in President Carter's standby gasoline rationing plan announced.REPORTER: Walter Cronkite(DC) Revisions in administration's standby gasoline rationing plan outlined; pts. listed on screen. Proposed allocations per state examined; map shown. Senator and House consideration of plan this wk stated.REPORTER: Nelson Benton,hard_news,national,544601,336,12356,110,1979
Live NBC coverage and analysis of the inauguration of President Donald Trump.NOTE: This record is incomplete.,hard_news,national,28089,109,6652,21600,2017
Second of a four part series re: US government politics; this version is missing the first 24 minutes of the broadcast; contact the Television News Archive for information about obtaining this broadcast in full from another source.,hard_news,national,403163,231,11942,1980,1989
"Live CBS coverage of 1968 Democratic National Convention with reports by Walter Cronkite, Roger Mudd, Art Buchwald, Ike Pappas, Dan Rather, Harry Reasoner, Mike Wallace, Hughes Rudd and Daniel Schorr.Live interviews with Dan Killiarm, Allard Lowenstein, Bill Vaughn and Channing Phillips.Live coverage of tribute to Adlai Stevenson by Paul Newman, Ralph Bellamy and Dore Schary.Taped speech by Jesse Unruh.Live announcement by Carl Albert.Picture disturbances throughout. Gap between end of this segment and beginning of next due to 1968 method of taping.",hard_news,national,35,555,4560,2790,1968
January figs. in hsing. starts and building permits noted.REPORTER: Walter Cronkite,hard_news,national,565853,83,10572,20,1978
(Studio: Peter Jennings) Reestablishment of curfew in Israeli-occupied territory of Gaza on second anniversary of intifada noted. .(Gaza Strip: Dean Reynolds) Report from refugee camp in which intifada began featured; scenes shown from streets and alleys of camp. [PALESTINIAN - says intifada became part of our lives.] [Artist Fahti GHAPIN - describes his art.] Killing of so-called collaborators by fellow Palestinians mentioned. [PALESTINIAN - comments.] Palestinians' stmts. about their cause given.,hard_news,international,420808,503,11942,86290,1989
John Connally's announcement of campaign financing only through private sources reported; details given.REPORTER: Frank Reynolds(DC) Connally said first presidential candidate to ever refuse federal matching funds; financial implications of decision noted. [CONNALLY - announces decision.] Federal restrictions Connally's campaign won't be bound by outlined on screen. Connally's television commercial shown. His campaign to date considered; Ronald Reagan mentioned.REPORTER: Charles Gibson,hard_news,national,550027,490,12190,110,1979
"President Carter said resting at Camp David; Ronald Reagan reported resting in California; John Anderson noted attending a football game. VP cands. Walter Mondale, Patrick Lucey said also resting. George Bush's address to Hispanic group in Washington, DC noted.REPORTER: Morton Dean(NYC) George Bush reported trying to woo blue collar vote. [BUSH - campaigns.] Bush said seldom actually meeting with blue collar workers. CBS News-""""""""New York Times"""""""" poll of blue collar workers with regard to Bush cited.REPORTER: Liz Trotta",hard_news,national,519455,523,12296,200,1980
"Iranian foreign minister quoted with regard to consequences in Iran from United States pressure elsewhere.REPORTER: Frank Reynolds(Tehran, Iran) International grand jury reported being established here within 10 days to try United States hostages; details given. Possibility of international tribunal leading to hostage's release considered; Sadegh Ghotbzadeh said opposed to show trials or public humiliation of hostages.REPORTER: Peter Jennings(Tehran, Iran) Iranian TV's interview with hostage Marine corporal William Gallegos shown. [GALLEGOS - discusses situation.] Controlled aspect of interview outlined.REPORTER: Richard Anderson ABC and CBS noted rejecting proposal of interview due to preconditions set down by terrorists; NBC mentioned as showing interview last night; details given.REPORTER: Frank Reynolds(DC) Admin. reaction to NBC's showing of Gallegos interview examined; Press Secretary Jody Powell quoted on screen.REPORTER: Sam Donaldson(DC) Reaction to showing of interview by congress leaders after meeting with President Carter featured. [Representative John BRADEMAS - criticizes NBC.] House speaker Tip O'Neill quoted. [Representatives Robert BAUMAN - says NBC should be nominated for Benedict Arnold award for broadcast journalism.] Representative Jim Wright mentioned.REPORTER: Brit Hume Statement issued by NBC News president Bill Small quoted; administration's criticism of ABC News report with regard to United States moving towards deadline for release of hostages noted. State Department and White House said both denying it. Speaker Tip O'Neill reported quoting national security adviser Zbigniew Brzezinski as saying report was result of some reporter's imagination. Reporter Ted Koppel's admin. source said reconfirming item today.REPORTER: Frank Reynolds Federal court judge reported ruling that ntnwide. check of Iranian student visas, ordered by President Carter, is unconstitutional; Justice Department said appealing. Upcoming items announced.REPORTER: Tom Jarriel",hard_news,international,550229,2003,12190,440,1979
"Surgeon General reported submitting report to Congress with regard to future dangers of hazardous wastes; Library of Congress' assessment of extent of problem noted.REPORTER: Frank Reynolds(DC) Surgeon General's report, released at Senate hearing, quoted on screen. [Senator Daniel P. MOYNIHAN - comments on Love Canal.] Hearing said held to consider legislature calling for government funds for toxic waste cleanup; bill's standing in House and Senator outlined. Senator Robert Dole mentioned. [Representative Albert GORE, Junior - notes chemical industry's efforts to kill legislature] Ind. response cited.REPORTER: Brit Hume REPORTER: Max Robinson(No location given) Contamination of Komperor farm livestock by PBB discussed; similar contamination several years ago affecting Michigan population as well recalled; films shown, details given. [KOMPERORS - comment.] PCB dump in Ellisville, Missouri, examined. [Missouri Governor Joseph TEASDALE - notes extent of problem.]REPORTER: Jim Hickey (WXYZ, KTVI film/tape)(Los Angeles, California) Mysterious sludge coming from ground near hsing. development in Fullerton, California, examined; films shown. [Mary HAMMER - mentions Love Canal.] Nearby chemical waste dump discussed; problems faced by states such as California outlined.REPORTER: John North Further discussion of hazardous wastes on tonight's """"""""Nightline"""""""" and upcoming items announced.REPORTER: Max Robinson",hard_news,national,526269,1419,12296,340,1980
"REPORTER: Sam Donaldson(DC) Senator Howard Baker's support for annual summits between United States and USSR leaders noted. [Courtesy """"""""This Wk."""""""", BAKER - attacks critics who claim he's trying to embarrass President Reagan by promoting summits.] [Courtesy """"""""This Wk."""""""", Lieutenant General Brent SCROWCROFT - blames USSR as well as United States for current poor relations between the 2 cntrys.; explains.] [Courtesy """"""""This Wk."""""""", Carnegie Endowment senior associate Dimitri (sic) SIMES - believes US-USSR dialogue should begin on lower level.] Issue of anti-satellite weapons as starting point considered.REPORTER: Dennis Troute Senator Howard Baker's description of his relationship with Representative Thomas O'Neill outlined; his suggestion that President Reagan and President Konstantin Chernenko follow same formula noted.REPORTER: Sam Donaldson",hard_news,international,492449,851,11991,150,1984
Attempted assassination of President Reagan year ago today recalled; photos shown. Those appearing in photos listed and pro filed; James Brady noted readmitted to hospital today for phlebitis.REPORTER: Roger Mudd,hard_news,national,497473,212,12403,150,1982
"REPORTER: Walter Cronkite(Middletown, Pennsylvania) Improvement in nuclear plant crisis noted. [NRC spokesperson Harold DENTON - states improving factors.] Containment building described; diagrams shown explaining gas bubble danger. Remaining problems listed; films shown. Radiation level within containment building stated.REPORTER: Gary Shepard White House order with regard to clearing all comments pertaining to Three Mile Island incident reported Govt. assignment of federal inspectors at each of 72 nuclear power plants in nation and only 23 presently on duty,",hard_news,national,546295,566,12190,240,1979
