broadcast_abstract,year,id,time,length,n
"Report on bus-truck crash near Shrewesbury, England; American tourists on bus mentioned.REPORTER: Walter Cronkite",1978,563459,86290,113,10537
"Return of most Rhodesian school children kidnapped from Methodist school on Thursday by black guerrillas and marched into Botswana reported.REPORTER: David Brinkley(Plumtree, Rhodesia) Return of most children and teachers and decision of few to stay and join Joshua Nkomo's guerrilla movement reported School's headmaster, Luke Khumalo, was among those kidnapped; Khumalo's wife mentioned. Children's account of treatment received on march into Botswana and while there detailed. [KHUMALO - thinks Parents won't want to send children to this school and in this guerrillas achieved purPose.] Closing of Teqwani Mission School noted. No. of Rhodesian blacks going to Botswana recently, in order to join fight against present Rhodesian government, reportedREPORTER: Tom Ackerman",1978,557373,110,775,10537
"Report on Senate committee hearing in Boston about problems involved in transport of volatile liquid fuels.REPORTER: Roger Mudd(Boston, Massachusetts) Truck and railroad transport of liquid fuels and hazards of such transport described. National Fire Protection Association film shown. Details about Senate Commerce Committee hearing in Boston on hazards of liquid energy gases (LEG) given. [Senator John DURKIN - describes dangers of LEG.] Amt. of LEG transported through New England noted; Everett, Massachusetts, reported to be major port for LEG. [Boston Fire Commissioner George PAUL - states lack of regulations about transport of such fuels.] GAO's study of situation and statements of its spokesperson about lack of federal action on dangers outlined; testimony of Coast Guard and Trans. Department spokesperson cited. National Fire Protection Association film presentation to committee described; film shown.REPORTER: Jim Kilpatrick",1978,534391,150,941,10537
"England meeting of Egyptian and Israeli foreign mins. reported President Anwar Sadat quoted, in Cairo, with regard to peace talks.REPORTER: David Brinkley",1978,565501,86300,154,10537
"Flash floods in central Texas noted.REPORTER: Roger Mudd(San Antonio, Texas) Details given about flash flooding in wake of tropical storm Amelia, ending drought in this section of state. [Bandera resident Teri TUSING - describes experience.] Conditions in Bandera, Kerrville, Comfort and Medina mentioned.REPORTER: Eric Engberg",1978,539076,110,327,10537
"Rescue efforts in North Sea for possible survivors of Norwegian copter crash noted; film shown. Report is on takeoff crash of DC-9 at Toronto International Airport.REPORTER: Harry Reasoner(Toronto International Airport, Canada) Details of crash of Air Canada jet and resulting injuries and deaths given. [Passenger Ken SMITH - describes crash.] [Police inspector South RAIKE - says information indicates crew did good job in helping passengers from crashed plane. Notes some passengers walked away from crash.] Possible causes of crash listed.REPORTER: James Walker",1978,560070,110,565,10537
"Marathon swimmer Stella Taylor's failure in attempt to swim from Bahamas to Florida reported.REPORTER: David Brinkley (WCKT-TV newstape, Miami)",1978,542243,40,143,10537
"January unemployment figs. detailed, include rates for women, white men and blacks.REPORTER: Frank Reynolds(Chicago, Illinois) Report on plight of blacks in job market Cases of Dilly Connor and friends cited as exs. [Curly GOSBERRY - goes for interviews suggested by unemployment office, but is never called for any job.] [CONNOR - describes how he manages to live.] Case of 55-yr.-old Willie Dillard, who lost job as experienced machinist when Rockwell plant in Chicago was closed in 1976, cited. [DILLARD - notes length of time with company and then co. leaves him with nothing. Sees no bright spots in future.]REPORTER: Dan Cordtz",1978,567508,170,633,10537
"Mrs. Betty Ford's entrance into hospital last week for treatment due to her drug and alcohol problems noted. Gerald Ford's comments on situation reported Interview shown. [FORD - says wife carried out duties in White House with no problem, but over last several mos. drug and alcohol problems have arisen and family decision was to help her get results in her best interest and that of family.] Interviewer Tom Brokaw asks Ford's feelings with regard to wife's candor on this subject. [FORD - was comfortable with it as long as Mrs. Ford was. Talks about problems of chemical dependence and notes that they, especially wife, believe she can be helpful to others in country if they will recognize problem.] Upcoming broadcast of entire interview with Brokaw and Ford to be seen on Tuesday morning's """"Today"""" program.REPORTER: John Hart",1978,561759,130,835,10537
"Israelis' halt to part of preparations for withdrawal from Sinai, begun in anticipation of peace treaty with Egypt, reported Israeli air strike against Palestinian bases in South Lebanon noted.REPORTER: John Chancellor(Tel Aviv, Israel) Israeli reports that attacks were on PLO (Palestine Liberation Organization) training bases stated. Earlier attacks on same bases, 2 in area occupied by Israel in March and other near Sidon, mentioned. Recent terrorist incidents in Israel, include bus bombing in Jerusalem on Sunday, reported.REPORTER: Hilary Brown Secretary of State Cyrus Vance's plans to meet in Brussels on Saturday with Egyptian Prime Min. Mustafa Khalil and Israeli foreign minister Moshe Dayan noted.REPORTER: John Chancellor",1978,536862,140,736,10537
"Report on unexplained plane crash near Indianapolis that killed all 9 on plane, include 8 officials of United States Auto Club returning from races in Trenton, New Jersey.REPORTER: John Hart (WRTV newstape, Indianapolis)",1978,561767,86060,220,10537
Congress subcommittee report with regard to South Korea's attempt to create own nuclear weapons detailed; report statement with regard to Tongsun Park and Sun Myung Moon involvement in United States arms sale plans noted.REPORTER: Walter Cronkite(DC) South Korea halt of nuclear weapons development plan stated; Tongsun Park influence buying investigation mentioned. [Representative Don. FRASER - tells of Park acting as agent in establishment of arms export business] Details of Moon involvement in arms export plans given; subcommittee report statements with regard to Unification Church involvement with South Korean government noted.REPORTER: Jed Duvall,1978,542993,110,657,10537
"Usu. arrangements for migrant workers obtaining jobs thru contractors outlined. Report is on contractor who finds derelicts and winos, contracts them to pick potatoes and gives as part of their pay cheap wine.REPORTER: David Brinkley(Johnston Cnty., North Carolina) Crew leader's recruitment of men from places like the Bowery in eastern noted; job they're chosen for said to be picking sweet potatoes in Johnston Cnty., North Carolina. Exs. given of men's situations. [ANDRUS - doesn't know what state he's in; came in van.] [CREW LDR. - recruits men from any-where he can get them.] Hidden camera film shown of isolated migrant camp, where crew leader hands out nightly bottles of wine to men. Amt. crew leader can make in year and ways to do it outlined. [Farm Workers Legal Services spokesperson William GEIMER - says uproar would come if epileptics were taken to fields and given medical in same way alcoholics are given wine. But as is, people accept it. Doesn't see much difference in situations.] [Sweet potato farmers' spokesperson Ben ROBINSON - gives reasons he believes crew leader serves valid function for alcoholic workers.] Other methods allegedly used by crew leaders to keep workers in camps described. [Migrant worker Tony BRYANT - tells of being hit by crew leader] Film shown of encounter between farmer and legal services attys. when attys. tried to investigate allegations of violence against workers. [FARMER - tells them to get off land.] Incident cited as having taken place in presence of deputy sheriff. Civil Rights Commission probes into allegations reported Upcoming report outlined.REPORTER: Brian Ross",1978,533986,330,1634,10537
"Report on sentencing of Terry Fleener, of San Antonio, on espionage conviction by Israeli court Her alleged association with Palestinian guerrilla group noted.REPORTER: Bob Schieffer(Tel Aviv, Israel) Report on trial and sentencing. Degree of security for trial noted, include fact that Fleener's mother, Mary Boecher of Dayton, Ohio, wasn't allowed in ctroom. [Fleener attorney Felicia LANGER - says sentence was harsh and will be appealed.] Arrest of Fleener, former Texas Univ. student who had lived in Beirut and worked for Kuwait Airways, at Tel Aviv's international airport in October noted. [BOECHER - talks of photos daughter allegedly took of Israeli bldgs. and military installations. Responds to question with regard to daughter's sympathy for Palestinians.] Interview by reporter Joel Bernstein. Description of Fleener by mother and university professor, Dr. Katherine Edwards, quoted.REPORTER: Bruno Wassertheil",1978,563535,160,924,10537
"Mtg. between President Carter and security adviser Brzezinski reported; discussion of upcoming NATO (North Atlantic Treaty Organization) conference in Washington, DC noted. Brzezinski's hard line taken against USSR on Sunday's """"Meet the Press"""" television show mentioned.REPORTER: John Chancellor(DC) Preview of NATO (North Atlantic Treaty Organization) meeting at State Department Discussions probably to include issues of NATO' s response to Soviet buildup in eastern Europe, American arms embargo against Turkey, weakness of NATO's south flank and growing Soviet-Cuban challenge in Africa. Film shown. [NATO (North Atlantic Treaty Organization) Secretary General Joseph LUNS - comments on state of relations between USSR and West due to apparent Soviet attitude toward detente and USSR intervention in Africa.] Luns' remarks with regard to situation in Africa and report of NATO (North Atlantic Treaty Organization) ntns.' approval of French action in Zaire stated.REPORTER: Charles Quinn",1978,559132,110,992,10537
"Environmental Protection Agency ban on gasoline additive MMT, used in unleaded gasoline, reported.REPORTER: John Chancellor",1978,539441,20,123,10537
"Report on findings of California researchers using pigs to test theory that jogging is good for the heart.REPORTER: John Chancellor(San Diego, California) Details given of research about jogging and its effect on heart and circulation, using pigs as test animals, by Dr. Max Sanders, of U. of California in San Diego, and colleague. Is found that experiments show no incr. in collateral circulation to be gained by jogging. [SANDERS - says expectations were to have found increase in coronary collaterals, but they didn't.]REPORTER: Frank Bourgholtzer",1978,562297,130,551,10537
"Continuing Senator hearings on arson reported.REPORTER: Roger Mudd(DC) Testimony about insurance fraud in arson cases by convicted claims adjuster James Carter, jailed for his role in Tampa, Florida, arson ring broken by Justice Department, noted. [CARTER - describes arson ring and insurance fraud.] [Senator Lawton CHILES - asks insurance company witness about involvement of ins. adjuster.] [Farmer's Group, Incorporated, security investigations director James McMULLEN - estimates 25% of adjusters are involved.]REPORTER: Jim McManus",1978,533647,110,537,10537
"OPEC (Organization of Petroleum Exporting Countries) decision to freeze oil prices for year, due mainly to Saudi Arabia position against price hike, reported OPEC (Organization of Petroleum Exporting Countries) meeting in Geneva mentioned.REPORTER: John Chancellor(Geneva, Switzerland) Radical Arabs' argument for price increase due to dollar devaluation and resulting OPEC (Organization of Petroleum Exporting Countries) losses and Saudi oil minister Sheik Yamani's successful opposition to move reported Exs. given of dollar devaluation in Switzerland. [YAMANI - explains prospect.] Yamani's denial of connection between Saudi stand on price increase and United States agreement in Congress to sell war planes to Saudi Arabia mentioned.REPORTER: John Cochran",1978,562202,110,760,10537
"Senator farm bill detailed. Farm strike situation examined.REPORTER: John Chancellor(Boca Cnty., Colorado) Effects of strike on area outlined. [Farmer Dennis DEEN - plows under wheat crop. Looks at future as farmer.]REPORTER: Jim Ruddle",1978,561795,100,236,10537
"USSR response to United States chgs. of human rights violations via """"Pravda"""" requests for Soviet citizens to ask President Carter to release Alabama convicted murderer Johnny Harris reported.REPORTER: Max Robinson(Holman Prison, Alabama) Details of Harris' imprisonment at Holman Prison while he awaits death sentence execution given. Alabama attorney general Bill Baxley's political commercial played. Background on Harris, who is also known as Imani, given. [HARRIS - is political prisoner.] [Baldwin Cnty. district attorney James HENDRIX - responds to Harris' claims.] [HARRIS - states reasons for claims.] [HENDRIX - asks reporter who Luel Bower is; says that is man Harris killed.] [HARRIS - denies guilt in killing. Discusses own fight for human rights.] [HENDRIX - predicts Harris will die of old age at prison in Atmore, Alabama, if sentence not commuted.]REPORTER: Ted Koppel",1978,565624,170,886,10537
"Israeli cabinet approval of draft treaty with Egypt, while rejecting Egyptian and United States proposals that dates be established for Palestinian autonomy in occupied territories, reported.REPORTER: Peter Jennings(Jerusalem, Israel) Israeli Prime Min. Menahem Begin's address to group of American Jewish state legislature noted. His remarks about cabinet's refusal to agree to Egyptian President Anwar Sadat's demands for timetable on Palestinian autonomy reported [BEGIN - says timetable can't be fixed because autonomy can't be forced on people but must be agreed on.] Sadat's statement that he won't sign treaty without timetable recalled. [BEGIN - mentions Egyptian demands that Egyptian police force be allowed to enter Gaza Strip; can't agree to this for security reasons.] Begin's allegations that Sadat wants to change some things that make this treaty binding over all others stated. [BEGIN - says those treaties Egypt has with other cntrys. are in direct opposition to proposed peace treaty.]REPORTER: Bill Seamans Minimal reaction to Israeli decision in Cairo noted; return to Egypt for consultation by top negotiator in Washington, DC mentioned. Sadat's expected continued pressure reported Details given about bombing in Lebanon in which bus carrying Syrian soldiers exploded, near Beirut.REPORTER: Peter Jennings",1978,535970,160,1328,10537
"Beginning of questioning of Tongsun Park by American investigators reported.REPORTER: Harry Reasoner(Seoul, South Korea) Report on hearings in South Korea. [Representative Bruce CAPUTO - reacts to Park's testimony.]REPORTER: Irv Chapman",1978,562020,90,236,10537
"Wage and Price Council's statement about state of economy quoted. President Carter's upcoming announcement of anti-inflation program noted. Wholesale price rises for March reported Report is on method of dealing with food prices by group in California.REPORTER: John Chancellor(San Francisco, California) Details given concerning wholesale food sales program for senior citizens, run by Pat Coates and Sandy Puccino in San Francisco. [COATES - says if state, local and federal govts. and private sector cooperate in venture, then job won't be further taxation on public.]REPORTER: Frank Bourgholtzer Admin. consideration of taking some gold from Fort Knox to sell abroad in order to aid United States dollar value reported.REPORTER: David Brinkley",1978,566297,170,747,10537
"Mood of Israelis noted. Burial of former Israeli prime minister Golda Meir, negotiations for peace with Egypt and possibility that Israel's oil supply from Iran will be cut off reported.REPORTER: Peter Jennings Contd. unrest in Iran noted, include Associated Press report on further violence in Isfahan. Reports of pro-Shah demonstrations in some cities like Meshed outlined.REPORTER: Peter Jennings(Tehran, Iran) Quiet in Tehran, on orders from Muslim religious leaders to followers, described. Film of wkend. marches shown. Examination of this attitude by anti-Shah faction made.REPORTER: Bill Blakemore(DC) President Carter's earlier statement of uncertainty about Shah's future noted. His remarks today reported [CARTER - expects Shah to maintain power. Restates important of concling. Egyptian-Israeli peace treaty by December 17; believes Egyptian President Anwar Sadat has reaffirmed his intention to conclude treaty soon, to Secretary of State Cyrus Vance. Hopes Israelis will do same.]REPORTER:. Sam Donaldson Secretary of State Cyrus Vance's mtgs. with Israelis and Egyptians reported.REPORTER: Peter Jennings(Cairo, Egypt) United States hopes that Vance's trip to Cairo and talks with Anwar Sadat would be last one noted unsatisfied; Sadat's slip in mentioning Vance's return plans reported [SADAT - comments.] [State Department spokesperson George SHERMAN - comments on Vance's plans.]REPORTER: Ted Koppel",1978,540363,340,1417,10537
"Floods in south California and snowstorms in E. mentioned. Weather troubles on Indian reservations in Arizona reported.REPORTER: David Brinkley(Salee, Arizona) Report on relief efforts by Army and National Guard to aid Navajo Indians cut off by rains and snows since last Friday Plight of Marie Day described.REPORTER: Roy Neal",1978,565670,90,327,10537
"Tongsun Park's completion of public testimony on South Korean influence scandal reported.REPORTER: Frank Reynolds(DC) House Ethics Committee questioning of Park outlined. [Committee cnsl. John NIELDS - asks of House speaker Tip O'Neill helped Park in rice business] [PARK - says no.] Committee's citing of Korean-language document found in Park's Washington, DC home which tells of requests from O'Neill to Park and it's citing of other such documents detailed. [PARK - says O'Neill never made contributions requests.] O'Neill's statement on matter noted. Committee questions and Park's answers with regard to Representative John McFall and Representative John Brademas reported Film shown.REPORTER: Brit Hume",1978,567046,130,709,10537
"Report on explosion and fire at oil refinery in Texas City, Texas.REPORTER: Harry Reasoner(Texas City, Texas) Details of explosion and fire given. [Franklin TENNINGTON - doesn't know what exploded, but fire was everywhere.] Effects of explosion in Texas City downtown area noted. 1947 explosion of-ship loaded with ammonium nitrate in this city south of Houston mentioned.REPORTER: Charles Murphy (KTRK newstape) British Navy's sinking of Greek oil tanker grounded for weeks off English coast and polluting beaches by oil spill reported Details given of attempts to stop Iran oil well fire by 2 members of Paul (Red) Adair's oil firefighting team.REPORTER: Harry Reasoner",1978,558914,140,671,10537
"Egyptian President Anwar Sadat's prediction of time factor in Egypt's making own military hardware stated. Report is on Egypt's antiquated phone system.REPORTER: Jessica Savitch(Cairo, Egypt) Details given of out-of-date telephone system in Egypt and problems it causes for everyone. Cost of updating system noted; is compared to building of Pyramids 4000 years ago.REPORTER: David Burrington",1978,564847,150,392,10537
"Fall and winter fashions revealed in Paris fashion shows this week described. Film shown.REPORTER: Peter Jennings(Paris, France) Report on varying degrees of influence French designers have on fashion world. Mentioned are House of Chanel, Kenzo and Yves Saint Laurent. Among those noted as viewers at Saint Laurent showing are artist's daughter Paloma Picasso, actress Catherine Deneuve and Neiman-Marcus buyer Benita Downing.REPORTER: Jack Smith",1978,562856,160,446,10537
"Effect of weather on orange growers in Florida and possibility of price hikes reported.REPORTER: Jessica Savitch(Lakeland, Florida) Report on reasons for possible price hikes in orange juice, due to weather and to supply-demand law processors use to keep product on grocery shelves. [Processor Joe MARSHBURN - says it's detrimental to processors, industry and consumer to feature product during times of short supply.] Ind. spokesperson's predictions that prices won't come down before next yr. noted.REPORTER: Kenley Jones",1978,559107,130,523,10537
"(Bonn, West Germany) President Carter's travel agenda in West Germany reported.REPORTER: John Chancellor(W. Berlin, West Germany) Background given on West Berlin, include John F. Kennedy's visit there; photos shown, audio tape played. Streets, plazas, schools named after Kennedy cited; film shown. Carter's agenda in Berlin listed. Kennedy exhibit at city hall noted; photos and film shown, size of crowd commented upon. [Exhibit VISITOR - speaks of Kennedy's visit to Berlin.] [2nd exhibit VISITOR - comments on President Carter's visit.] Changes in Berlin since Kennedy's visit noted.REPORTER: Fred Briggs",1978,566064,150,608,10537
"Beginning of lawsuit on Monday against NBC and its affiliate, KRON-TV in San Francisco, by parents of girl attacked by other children after broadcast of program """"Born Innocent"""" reported.REPORTER: Jessica Savitch(San Francisco, California) Details given about program, """"Born Innocent"""", particularly rape scene. Similar rape performed on Olivia Neimi by 3 girls with young boy as lookout noted. Lawsuit based on Olivia's mother's contention that idea for attack came from television show outlined. [Neimi attorney Marvin LEWIS - states position in case.] NBC position that case involves 1st Amendment rights, backed by ABC, CBS and others, stated. [Attorney Floyd ABRAMS - cites example of letter from American Library Association rpting. concerns about effects on book availability if NBC loses case.] [LEWIS - responds to 1st Amendment claim.] [ABRAMS - states concerns about effects on television of loss.]REPORTER: Rick Davis",1978,562492,220,931,10537
